Token: ASSIGN, Lexema: null, Línea: 53, Columna: 12, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 3.7, Línea: 53, Columna: 13, Tabla: N/A
Token: POW, Lexema: null, Línea: 53, Columna: 16, Tabla: N/A
Token: ID, Lexema: fl1, Línea: 53, Columna: 18, Tabla: VARIABLES
Token: PLUS, Lexema: null, Línea: 53, Columna: 21, Tabla: N/A
Token: LPAREN, Lexema: null, Línea: 53, Columna: 23, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 45.6, Línea: 53, Columna: 25, Tabla: N/A
Token: MOD, Lexema: null, Línea: 53, Columna: 29, Tabla: N/A
Token: INT_LITERAL, Lexema: 76, Línea: 53, Columna: 30, Tabla: N/A
Token: RPAREN, Lexema: null, Línea: 53, Columna: 33, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 53, Columna: 35, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 53, Columna: 37, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 55, Columna: 2, Tabla: N/A
Token: ID, Lexema: arr, Línea: 56, Columna: 3, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 56, Columna: 7, Tabla: N/A
Token: INT_LITERAL, Lexema: 10, Línea: 56, Columna: 9, Tabla: N/A
Token: MINUS, Lexema: null, Línea: 56, Columna: 12, Tabla: N/A
Token: ID, Lexema: arr, Línea: 56, Columna: 14, Tabla: VARIABLES
Token: LBRACKET, Lexema: null, Línea: 56, Columna: 17, Tabla: N/A
Token: INT_LITERAL, Lexema: 67, Línea: 56, Columna: 18, Tabla: N/A
Token: RBRACKET, Lexema: null, Línea: 56, Columna: 20, Tabla: N/A
Token: LBRACKET, Lexema: null, Línea: 56, Columna: 21, Tabla: N/A
Token: INT_LITERAL, Lexema: 67, Línea: 56, Columna: 22, Tabla: N/A
Token: RBRACKET, Lexema: null, Línea: 56, Columna: 24, Tabla: N/A
Token: TIMES, Lexema: null, Línea: 56, Columna: 26, Tabla: N/A
Token: ID, Lexema: func1, Línea: 56, Columna: 28, Tabla: VARIABLES
Token: LPAREN, Lexema: null, Línea: 56, Columna: 35, Tabla: N/A
