Token: LBRACKET, Lexema: LBRACKET, Línea: 71, Columna: 36, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 71, Columna: 37, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 71, Columna: 38, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 71, Columna: 39, Tabla: N/A
Token: DIVIDE, Lexema: DIVIDE, Línea: 73, Columna: 5, Tabla: N/A
Token: ID, Lexema: Output, Línea: 73, Columna: 8, Tabla: VARIABLES
Token: ID, Lexema: mixto, Línea: 73, Columna: 15, Tabla: VARIABLES
Token: WRITE, Lexema: WRITE, Línea: 74, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 74, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: === PRUEBA MIXTA ===, Línea: 74, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 74, Columna: 36, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 74, Columna: 38, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 75, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 75, Columna: 11, Tabla: N/A
Token: ID, Lexema: especial, Línea: 75, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 75, Columna: 22, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 75, Columna: 24, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 76, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 76, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: Suma:, Línea: 76, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 76, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 76, Columna: 23, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 77, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 77, Columna: 11, Tabla: N/A
Token: ID, Lexema: suma, Línea: 77, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 77, Columna: 18, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 77, Columna: 20, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 78, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 78, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: Caracteres:, Línea: 78, Columna: 13, Tabla: N/A
