Token: LPAREN, Lexema: LPAREN, Línea: 25, Columna: 11, Tabla: N/A
Token: ID, Lexema: suma, Línea: 25, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 25, Columna: 18, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 25, Columna: 20, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 27, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: suma, Línea: 27, Columna: 12, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 27, Columna: 16, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 28, Columna: 1, Tabla: N/A
Token: STRING, Lexema: STRING, Línea: 30, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: manejarTexto, Línea: 30, Columna: 8, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 30, Columna: 21, Tabla: N/A
Token: CHAR, Lexema: CHAR, Línea: 30, Columna: 23, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: inicial, Línea: 30, Columna: 28, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 30, Columna: 36, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 30, Columna: 38, Tabla: N/A
Token: STRING, Lexema: STRING, Línea: 31, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: mensaje, Línea: 31, Columna: 12, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 31, Columna: 20, Tabla: N/A
Token: STRING_LITERAL, Lexema: Hola_mundo_desde_MIPS!, Línea: 31, Columna: 22, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 31, Columna: 47, Tabla: N/A
Token: STRING, Lexema: STRING, Línea: 32, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: saludo, Línea: 32, Columna: 12, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 32, Columna: 19, Tabla: N/A
Token: STRING_LITERAL, Lexema: Buenos_dias, Línea: 32, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 32, Columna: 35, Tabla: N/A
Token: CHAR, Lexema: CHAR, Línea: 33, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: letra, Línea: 33, Columna: 10, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 33, Columna: 16, Tabla: N/A
Token: CHAR_LITERAL, Lexema: A, Línea: 33, Columna: 18, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 33, Columna: 22, Tabla: N/A
Token: CHAR, Lexema: CHAR, Línea: 34, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: numero, Línea: 34, Columna: 10, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 34, Columna: 17, Tabla: N/A
Token: CHAR_LITERAL, Lexema: 7, Línea: 34, Columna: 19, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 34, Columna: 23, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 36, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 36, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: Mensaje original:, Línea: 36, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 36, Columna: 33, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 36, Columna: 35, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 37, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 37, Columna: 11, Tabla: N/A
Token: ID, Lexema: mensaje, Línea: 37, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 37, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 37, Columna: 23, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 39, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 39, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: Caracter inicial:, Línea: 39, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 39, Columna: 33, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 39, Columna: 35, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 40, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 40, Columna: 11, Tabla: N/A
Token: ID, Lexema: inicial, Línea: 40, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 40, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 40, Columna: 23, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 42, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 42, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: Letra:, Línea: 42, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 42, Columna: 22, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 42, Columna: 24, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 43, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 43, Columna: 11, Tabla: N/A
Token: ID, Lexema: letra, Línea: 43, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 43, Columna: 19, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 43, Columna: 21, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 45, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 45, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: Numero como char:, Línea: 45, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 45, Columna: 33, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 45, Columna: 35, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 46, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 46, Columna: 11, Tabla: N/A
Token: ID, Lexema: numero, Línea: 46, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 46, Columna: 20, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 46, Columna: 22, Tabla: N/A
Token: STRING, Lexema: STRING, Línea: 48, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: especial, Línea: 48, Columna: 12, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 48, Columna: 21, Tabla: N/A
Token: STRING_LITERAL, Lexema: Símbolos: @#$%^&*()_+-=[]{}|;:,.<>?, Línea: 48, Columna: 23, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 48, Columna: 61, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 49, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 49, Columna: 11, Tabla: N/A
Token: ID, Lexema: especial, Línea: 49, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 49, Columna: 22, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 49, Columna: 24, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 51, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: mensaje, Línea: 51, Columna: 12, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 51, Columna: 19, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 52, Columna: 1, Tabla: N/A
Token: FLOAT, Lexema: FLOAT, Línea: 54, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: calcularComplejo, Línea: 54, Columna: 7, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 54, Columna: 24, Tabla: N/A
