Token: RETURN, Lexema: RETURN, Línea: 29, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: FLOAT_LITERAL, Lexema: 5.6, Línea: 29, Columna: 9, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 29, Columna: 12, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 30, Columna: 2, Tabla: N/A
Token: BOOL, Lexema: BOOL, Línea: 31, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: func3, Línea: 31, Columna: 6, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 31, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 31, Columna: 16, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 31, Columna: 20, Tabla: N/A
Token: STRING, Lexema: STRING, Línea: 32, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: b1, Línea: 32, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 32, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: hola, Línea: 32, Columna: 12, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 32, Columna: 18, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 33, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: FALSE, Lexema: false, Línea: 33, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: QUESTION, Lexema: QUESTION, Línea: 33, Columna: 12, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 34, Columna: 3, Tabla: N/A
Token: INT, Lexema: INT, Línea: 36, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: func2, Línea: 36, Columna: 6, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 36, Columna: 13, Tabla: N/A
Token: BOOL, Lexema: BOOL, Línea: 36, Columna: 15, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: b1, Línea: 36, Columna: 20, Tabla: VARIABLES
Token: COMMA, Lexema: COMMA, Línea: 36, Columna: 22, Tabla: N/A
Token: INT, Lexema: INT, Línea: 36, Columna: 24, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: i1, Línea: 36, Columna: 28, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 36, Columna: 31, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 36, Columna: 35, Tabla: N/A
Token: INT, Lexema: INT, Línea: 37, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: z, Línea: 37, Columna: 6, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 37, Columna: 7, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 37, Columna: 8, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 37, Columna: 9, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 38, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: INT_LITERAL, Lexema: 1, Línea: 38, Columna: 9, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 38, Columna: 10, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 39, Columna: 3, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 41, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 41, Columna: 7, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 41, Columna: 12, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 41, Columna: 15, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 41, Columna: 18, Tabla: N/A
Token: CHAR, Lexema: CHAR, Línea: 44, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: miChar, Línea: 44, Columna: 7, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 44, Columna: 13, Tabla: N/A
Token: CHAR_LITERAL, Lexema: !, Línea: 44, Columna: 14, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 44, Columna: 17, Tabla: N/A
Token: CHAR, Lexema: CHAR, Línea: 45, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: miChar2, Línea: 45, Columna: 7, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 45, Columna: 14, Tabla: N/A
Token: CHAR_LITERAL, Lexema: !, Línea: 45, Columna: 15, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 45, Columna: 18, Tabla: N/A
Token: STRING, Lexema: STRING, Línea: 46, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: str1, Línea: 46, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 46, Columna: 13, Tabla: N/A
Token: STRING_LITERAL, Lexema: Mi string 1, Línea: 46, Columna: 14, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 46, Columna: 27, Tabla: N/A
Token: FLOAT, Lexema: FLOAT, Línea: 47, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: fl1, Línea: 47, Columna: 8, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 47, Columna: 11, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 56.6, Línea: 47, Columna: 12, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 47, Columna: 16, Tabla: N/A
Token: INT, Lexema: INT, Línea: 48, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: in2, Línea: 48, Columna: 6, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 48, Columna: 9, Tabla: N/A
Token: INT_LITERAL, Lexema: 2, Línea: 48, Columna: 10, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 48, Columna: 11, Tabla: N/A
Token: INT, Lexema: INT, Línea: 49, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: in1, Línea: 49, Columna: 6, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 49, Columna: 9, Tabla: N/A
Token: INCREMENT, Lexema: INCREMENT, Línea: 49, Columna: 10, Tabla: N/A
Token: ID, Lexema: in2, Línea: 49, Columna: 12, Tabla: VARIABLES
Token: MINUS, Lexema: MINUS, Línea: 49, Columna: 15, Tabla: N/A
Token: INT_LITERAL, Lexema: 14, Línea: 49, Columna: 17, Tabla: N/A
Token: PLUS, Lexema: PLUS, Línea: 49, Columna: 19, Tabla: N/A
Token: ID, Lexema: in2, Línea: 49, Columna: 21, Tabla: VARIABLES
Token: MOD, Lexema: MOD, Línea: 49, Columna: 24, Tabla: N/A
Token: INT_LITERAL, Lexema: 7, Línea: 49, Columna: 25, Tabla: N/A
Token: DIVIDE, Lexema: DIVIDE, Línea: 49, Columna: 26, Tabla: N/A
Token: INT_LITERAL, Lexema: 15, Línea: 49, Columna: 28, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 49, Columna: 30, Tabla: N/A
Token: FLOAT, Lexema: FLOAT, Línea: 50, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: fl2, Línea: 50, Columna: 8, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 50, Columna: 11, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 3.7, Línea: 50, Columna: 12, Tabla: N/A
Token: POW, Lexema: POW, Línea: 50, Columna: 15, Tabla: N/A
Token: ID, Lexema: fl1, Línea: 50, Columna: 17, Tabla: VARIABLES
Token: PLUS, Lexema: PLUS, Línea: 50, Columna: 20, Tabla: N/A
Token: LPAREN, Lexema: LPAREN, Línea: 50, Columna: 22, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 45.6, Línea: 50, Columna: 24, Tabla: N/A
Token: MOD, Lexema: MOD, Línea: 50, Columna: 28, Tabla: N/A
Token: INT_LITERAL, Lexema: 76, Línea: 50, Columna: 29, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 50, Columna: 32, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 50, Columna: 34, Tabla: N/A
Token: INT, Lexema: INT, Línea: 51, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: arr, Línea: 51, Columna: 6, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 51, Columna: 9, Tabla: N/A
Token: INT_LITERAL, Lexema: 67, Línea: 51, Columna: 10, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 51, Columna: 12, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 51, Columna: 13, Tabla: N/A
Token: INT_LITERAL, Lexema: 67, Línea: 51, Columna: 14, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 51, Columna: 16, Tabla: N/A
Token: ASSIGN, Lexema: ASSIGN, Línea: 51, Columna: 18, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 51, Columna: 20, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 51, Columna: 21, Tabla: N/A
Token: INT_LITERAL, Lexema: 4, Línea: 51, Columna: 22, Tabla: N/A
Token: COMMA, Lexema: COMMA, Línea: 51, Columna: 23, Tabla: N/A
Token: INT_LITERAL, Lexema: 5, Línea: 51, Columna: 24, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 51, Columna: 25, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 51, Columna: 26, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 51, Columna: 27, Tabla: N/A
Token: ID, Lexema: in2, Línea: 53, Columna: 2, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 53, Columna: 6, Tabla: N/A
Token: INT_LITERAL, Lexema: 10, Línea: 53, Columna: 8, Tabla: N/A
Token: MINUS, Lexema: MINUS, Línea: 53, Columna: 11, Tabla: N/A
Token: ID, Lexema: arr, Línea: 53, Columna: 13, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 53, Columna: 16, Tabla: N/A
Token: INT_LITERAL, Lexema: 67, Línea: 53, Columna: 17, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 53, Columna: 19, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 53, Columna: 20, Tabla: N/A
Token: INT_LITERAL, Lexema: 67, Línea: 53, Columna: 21, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 53, Columna: 23, Tabla: N/A
Token: TIMES, Lexema: TIMES, Línea: 53, Columna: 25, Tabla: N/A
Token: ID, Lexema: func1, Línea: 53, Columna: 27, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 53, Columna: 34, Tabla: N/A
Token: TRUE, Lexema: true, Línea: 53, Columna: 37, Tabla: PALABRAS_RESERVADAS
Token: COMMA, Lexema: COMMA, Línea: 53, Columna: 41, Tabla: N/A
Token: STRING_LITERAL, Lexema: hola mundo, Línea: 53, Columna: 43, Tabla: N/A
Token: COMMA, Lexema: COMMA, Línea: 53, Columna: 55, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 4.5, Línea: 53, Columna: 57, Tabla: N/A
Token: COMMA, Lexema: COMMA, Línea: 53, Columna: 60, Tabla: N/A
Token: CHAR_LITERAL, Lexema: a, Línea: 53, Columna: 62, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 53, Columna: 66, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 53, Columna: 68, Tabla: N/A
Token: ID, Lexema: fl1, Línea: 54, Columna: 2, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 54, Columna: 6, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 4.5, Línea: 54, Columna: 8, Tabla: N/A
Token: MOD, Lexema: MOD, Línea: 54, Columna: 11, Tabla: N/A
Token: ID, Lexema: miChar, Línea: 54, Columna: 12, Tabla: VARIABLES
Token: POW, Lexema: POW, Línea: 54, Columna: 18, Tabla: N/A
Token: MINUS, Lexema: MINUS, Línea: 54, Columna: 20, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 0.005, Línea: 54, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 54, Columna: 26, Tabla: N/A
Token: ID, Lexema: miFunc, Línea: 55, Columna: 2, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 55, Columna: 9, Tabla: N/A
Token: ID, Lexema: miFunc, Línea: 55, Columna: 11, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 55, Columna: 18, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 55, Columna: 21, Tabla: N/A
Token: COMMA, Lexema: COMMA, Línea: 55, Columna: 23, Tabla: N/A
Token: CHAR_LITERAL, Lexema: a, Línea: 55, Columna: 24, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 55, Columna: 28, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 55, Columna: 30, Tabla: N/A
Token: BOOL, Lexema: BOOL, Línea: 56, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: bl0, Línea: 56, Columna: 7, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 56, Columna: 11, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 6.7, Línea: 56, Columna: 13, Tabla: N/A
Token: NEQ, Lexema: NEQ, Línea: 56, Columna: 17, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 8.9, Línea: 56, Columna: 20, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 56, Columna: 23, Tabla: N/A
Token: ID, Lexema: bl0, Línea: 57, Columna: 2, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 57, Columna: 6, Tabla: N/A
Token: TRUE, Lexema: true, Línea: 57, Columna: 8, Tabla: PALABRAS_RESERVADAS
Token: NEQ, Lexema: NEQ, Línea: 57, Columna: 13, Tabla: N/A
Token: FALSE, Lexema: false, Línea: 57, Columna: 16, Tabla: PALABRAS_RESERVADAS
Token: QUESTION, Lexema: QUESTION, Línea: 57, Columna: 19, Tabla: N/A
Token: BOOL, Lexema: BOOL, Línea: 58, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: bl1, Línea: 58, Columna: 7, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 58, Columna: 11, Tabla: N/A
Token: ID, Lexema: in1, Línea: 58, Columna: 13, Tabla: VARIABLES
Token: GTE, Lexema: GTE, Línea: 58, Columna: 17, Tabla: N/A
Token: ID, Lexema: fl1, Línea: 58, Columna: 20, Tabla: VARIABLES
Token: OR, Lexema: OR, Línea: 58, Columna: 24, Tabla: N/A
