Token: RBRACKET, Lexema: RBRACKET, Línea: 29, Columna: 14, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 29, Columna: 15, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 29, Columna: 16, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 29, Columna: 17, Tabla: N/A
Token: ASSIGN, Lexema: ASSIGN, Línea: 29, Columna: 19, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 29, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 29, Columna: 22, Tabla: N/A
Token: BOOL, Lexema: BOOL, Línea: 30, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: b1, Línea: 30, Columna: 7, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 30, Columna: 9, Tabla: N/A
Token: TRUE, Lexema: true, Línea: 30, Columna: 10, Tabla: PALABRAS_RESERVADAS
Token: QUESTION, Lexema: QUESTION, Línea: 30, Columna: 14, Tabla: N/A
Token: STRING, Lexema: STRING, Línea: 31, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: s1, Línea: 31, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 31, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: luna, Línea: 31, Columna: 12, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 31, Columna: 18, Tabla: N/A
Token: read, Lexema: read, Línea: 32, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 32, Columna: 7, Tabla: N/A
Token: ID, Lexema: s1, Línea: 32, Columna: 9, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 32, Columna: 12, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 32, Columna: 14, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 33, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 33, Columna: 8, Tabla: N/A
Token: ID, Lexema: b1, Línea: 33, Columna: 10, Tabla: VARIABLES
